previous_operator_utterance,operator_utterance,negative_utterance
オペレーター: ネイチャーセンターとゆー、なんか、施設もございまして、こちらでは、自然に関する図書や資料を展示してまして、観察用の双眼鏡を、無料で貸し出しもしているみたいです。,オペレーター: 一応、説明文としては、これ位なんですが、写真を見る感じですと、ほんとに、ウサギだったり、野鳥だったり、色んな動物が、ここは、見ることが出来るみたいですね。,カスタマー: 面白そー。
オペレーター: 和食とか洋食とか、なにか、ご要望はありますか？,オペレーター: 和食でいいですか？,カスタマー: とりあえずそっちの方が。だ、聞いたら、やっぱり雪の祭りとかっていう。雪、雪がやっぱ昼…。
オペレーター: ありがとうございました。,オペレーター: 本日はーお問い合わせ頂きありがとうございます。,カスタマー: <>ちはー。
オペレーター: 大阪のジェーアール大阪の、南がん、すいません。,オペレーター: 徒歩一分の所ですね。,カスタマー: すごいいいですね、場所的にも良さそうですね。
オペレーター: はい。,オペレーター: こちら、海のほうなの温泉に塩分がかなり含まれているそうなんですね。,カスタマー: はあはあはあ、なるほど。
オペレーター: 保留ということでよろしいですか？すいません,オペレーター: 情報不足でとんでもないです。とんでもないです。,カスタマー: 混浴でーとか混浴とかもあったり<>ということで
オペレーター: あと<>ハウスもあるのでー、結構ゆったり楽しめるんじゃないかなって思うんですけれども。,オペレーター: <>とかもー、天気が良ければ、荒俣峡とかは素晴らしいんじゃないかなと思うんですけれども。,カスタマー: そうですね、ううん。
オペレーター: まず、お待たせしました、お一つ見つけまして、田舎味、田舎味茶屋。,オペレーター: ひらのっていうお店が屋久島の中にあります。,カスタマー: おお。
オペレーター: もしよろしければー、広島県内で探してもよろしいですか？,オペレーター: 少々お待ちください。,カスタマー: すみません、探していただいているところ、ちなみにー、広島で探していただくとなるとー、あれですかね、その
オペレーター: 好きなもの嫌いなものも大丈夫ですかアレルギー,オペレーター: 好みが似ている,カスタマー: そうですねー
オペレーター: こちら、国の登録有形文化財に指定されてまして。,オペレーター: なかなか、立派な神社ではございますけれども、ご興味ございますか?,カスタマー: そーゆーところがあるんだって、今、初めて知ったような、<>けれども、
オペレーター: <>できるんですけども,オペレーター: お客様の代わりにですね、実況しますととても美味しそうなたこ焼きがですね,カスタマー: おねがいします。いっぱい並んでおりまして
オペレーター: 市太郎の湯と申します。,オペレーター: 左様でございます。,カスタマー: 面白い名前ですね、ハハハハ<>
オペレーター: 例えばなんですけれども、ノドグロ、お好きですか？,オペレーター: こちら、なかなか、よろしいかと思うんですけど、例えば、,カスタマー: どんなお店があります？
オペレーター: ジンギスカン、,オペレーター: ジンギスカンで改めて調べてみますね。,カスタマー: お願いします、すいません。
オペレーター: 徒歩一分の所ですね。,オペレーター: <>、,カスタマー: じゃあそこにします、
オペレーター: でも、かん、写真の感じはとても素敵な感じで、ねぷた祭りの写真とかも映ってます。,オペレーター: ここは,カスタマー: 距離的にはどうなんですかね<>。
オペレーター: ありがとうございます。,オペレーター: でですね、お客様。今のは和風だったじゃないですか。,カスタマー: えええ。はいはい。
オペレーター: 見れるのは、お寺の絵であったりとか、やっぱり、もうひとつもお寺の絵画ですね。仏画みたいな感じなんですけど。,オペレーター: お寺の、絵画みたいな感じなんですけど。あと、美術館では、越後湯沢で出てこないんですけれどもー。,カスタマー: 出てこないん…出てこない？いや、だ、あんまりだから、そっちの方には行ったことないんで、あんまり詳しくは分からないんだけどー。
オペレーター: なかなか海の幸山の幸いろいろございますね、山形は。,オペレーター: あと何か買いたいものとかご要望はございますか？,カスタマー: さくらんぼのお土産とかですかね。
オペレーター: こうなんて言うんでしょう。教会をご覧になった後とかのー、おさらいというか…。,オペレーター: 締めのような感じでー、ご談義の後、ちょうど、楽しいかなー、という風に思いました。,カスタマー: そうですねー。うーん。
オペレーター: かなりおっきんじゃないかなと、写真を見た感じだと、体育館みたいな、それぐらい広いスペースで展示してるんで、そういったところは面白いな思うんですけど、どうでしょう、,オペレーター: 一応、メンテナンスの休館はありますが、基本的には春先であればお休みはないっていう形でやってます。,カスタマー: 面白そうですよねー。
オペレーター: これって、いかがですか？,オペレーター: これでよろしいですか？,カスタマー: そっちの方がいいか。
オペレーター: ロープウェイの上は、何て言うんですかね、上から海を見下ろす感じなんですけれども。,オペレーター: 千光寺公園という公園がありまして、ロープウェイに乗りまして、ま、高台から、高いところから、海を眺めるっていう形なんですが、いかがでしょう？,カスタマー: 良さそうですね。祖母がちょっと足が少しゆっくりなのでー。
オペレーター: 小倉家さんというところではですね、こちら、民芸品ですとか、お酒とかも購入ができますし。,オペレーター: あと、那智黒？那智黒…ってご存じですかね？,カスタマー: 分からない。
オペレーター: で、こちらがですね、京都の左京区、ごめんなさい、京都の下京区にございまして、地下鉄の五条駅から徒歩10分ほどの場所でございます。,オペレーター: で、こちらも一応候補として抑えておきますね。,カスタマー: お願いいたします。
オペレーター: ではお客様、もしよろしければなんですけれどもー、ミュージアムレストラン、ですので、折角なので、この長崎歴史文化博物館の方にも行ってみますか。,オペレーター: はい。真横ー、に。,カスタマー: 食事の後に、行くっていう感じー、なりますか、でしょうかね。
オペレーター: で、具がたっぷり入っていて、ポークの角煮などが入っている。肉男。,オペレーター: あと、肉男爵っていう感じで、角煮と男爵芋ですね、北海道の。,カスタマー: ほおー。
オペレーター: ゴーヤチャンプルーとか、沖縄そば、ポーク玉子、豆腐チャンプルー、っていうのを出してます。,オペレーター: お値段もー、メニューのほとんどが六百円台で。,カスタマー: 良いですねー、
オペレーター: 施設ではなくて、,オペレーター: 昔こんな生活をしてましたって,カスタマー: 1回明治、大正時代に
オペレーター: ではですね、今回はご旅行のご相談とゆーことで、お間違いないでしょーか？,オペレーター: では、今回のご旅行は、どーいった場所に行くとか、そーいったものは、もー決まってらっしゃいますか？,カスタマー: まだ決めてなくて。
オペレーター: こちらには卓球という記述はないんですけれども。,オペレーター: レクリエーション施設って書いてあるので、もしかしたら、た…。,カスタマー: レクリエーション？
オペレーター: フルーツ狩り。,オペレーター: お客様、さくらんぼ狩りはされたことない、ですよね。,カスタマー: したことないです。
オペレーター: 秋ですね。少々お待ちください。,オペレーター: 大変お待たせいたしました。お客様、北野天満宮とございまして。こちらがですね、大変、秋の紅葉が美しい場所でございまして。学問の神様、菅原道真公を祀っている神社となっております。こちらはいかがなさいますか？,カスタマー: じゃあ候補に入れていただいても。お願いします。
オペレーター: で、こちらが、夕日の名所である湯本湾が目の前に広がって、その夕日が沈むところを一望できる。,オペレーター: ってなってますね、で、海の幸など味わえる昼食や、日中の入浴、休憩も可能となってますんで。,カスタマー: ちなみに、そこ宿泊するとしたら、一泊二人でおいくらくらいになりそうですか？
オペレーター: こちらがですね、申し訳ないんですけれどもー、交通機関に関してはー、詳しい情報がございませんでー。,オペレーター: すいませんが、申し訳ないんですけれどもー。主に観光地で、でお願いしたいんですけれども。,カスタマー: 有田は、これ和歌山市から近いんですかね、全然べつのとこなんですかね？
オペレーター: 口の中、リセットじゃないですけど、サッパリ、させてもいいかなっていう。,オペレーター: 今、一応、日光でー、お調べしっ、たら、でも結構…。ジャンル…、関わらずー、調べたら結構出てきたのでー。,カスタマー: 出て来そうですねー。
オペレーター: もしよろしければこちらも、おすすめでございます。,オペレーター: あとですねお客様、青森県で何か他に見てみたいですとか、食べてみたいですとか、そういったご要望はございますか？,カスタマー: 青森県ってなったら。
オペレーター: あと、春なのであれなんですけれども、ウォータースライダーとかも、プールですね。春でもし、4月ぐらいだったらどうかなと思うんですけど。,オペレーター: こちらにはその辺の記述がないんですけれども、バーベキューとか手ぶらでできるということで、一応案内されています。,カスタマー: いいですね。楽しそう。
オペレーター: で、こちらがですね。,オペレーター: JR函館駅徒歩1分となってますので、割と入りやすいお店ですね。,カスタマー: じゃ、さっきの蟹のお店よりも、こちらの方が、行き、行きやすそうですね？
オペレーター: そうなんですかー。,オペレーター: では、お客様もー…洞窟風呂ではないんですけれども重曹泉ということで、こちら豊平峡温泉いかがでしょうか？,カスタマー: 興味あります。
オペレーター: こちらがですね、いつとかは書かれてなくて申し訳ない、申し訳ないんですけど。,オペレーター: アハハッ。そうですね。そのような場所。,カスタマー: フフフ、フッフッ、フッフッ。なるほど、なるほど。
オペレーター: こだわりの味噌スープはアルカリイオ、イオン水を使用してー、豚とか鳥とか野菜をじっくり煮込んで、旨味を出しているって書いてあります。,オペレーター: ぐふ、具がー変わっていまして―、じゃがいもとかコーンが入っております。,カスタマー: 北海道らしいですね。
オペレーター: こちらーの、このお店がプロデュースしている会社なんですけれども。,オペレーター: ちゃんとコーヒーに、白い恋人達が、付いてくるんですけども。,カスタマー: ふふふ、そこは、すごく、ちょうどいいかなって思いますね。
オペレーター: はい。お客様、ではですね、ぴったりの場所がございまして、ブセナ海中公園という場所はご存知でしょうか。,オペレーター: ご存知でしたか。,カスタマー: はい。こちらですね、ブセナ海中公園というところが、海中展望塔があるんですね。
オペレーター: はい、,オペレーター: なるほど。羽咋ね。,カスタマー: いいかなあって。ただ。
オペレーター: あと、スノーモービルですね。,オペレーター: こういった体験ができますね。,カスタマー: 着替えとかいらないんですかね？
オペレーター: こちらー、ご案内してもよろしいですか？,オペレーター: えーとですね、た、例えばなんですけどー、こちらの、樹齢が400年以上といったところで、特別な桜となっておりましてー、,カスタマー: じゃ、見た目は変わらないってことですか？
オペレーター: すごい良さそうですね、ここは。,オペレーター: これは、ビール園をしのぐ良さが、,カスタマー: ははははは、
オペレーター: 地下二十メートルまで、下りた先には司令官室、幕僚室など、三百メートルにわたって歩いて見ることが出来る。,オペレーター: 一応…、資料館的な場所なん…、えーとー、資料館というか史跡として残されてるみたいです。,カスタマー: それは是非、行きたいですね、それ。
オペレーター: で、こちらも一応候補として抑えておきますね。,オペレーター: あとお客様、何か食べてみたりとか、あと何か買いたいものとか、そういったご要望はございますか？,カスタマー: 京都というと、食べ物だと何が、いっぱいあると思うんですけど、京都も。
オペレーター: ありますか？どちら方面とか。,オペレーター: なるほどですね。,カスタマー: 今、ざ、お、すんごく大雑把にはそんなイメージですけど。
オペレーター: かしこまりました。,オペレーター: こちらがですね、8時、朝の8時半から夜の8時まで、長い時間営業しておりますので、,カスタマー: 大人さま、1880円となっております。
オペレーター: まずは、角屋もてなしの文化美術館。,オペレーター: すみや。,カスタマー: すみやね、はい。
オペレーター: ではお客様、これもしかすると長崎に行ったかいが出るかもしれませんので、ご案内してもよろしいでしょうか。,オペレーター: トルコライスというのはですね、別にトルコとはそんな関係なさそうなんですけれども。,カスタマー: あっはっは。
オペレーター: これは、熱気球、タイミングが合えば、乗れたら面白いかなって。,オペレーター: 地平線の代わりじゃないですけど。,カスタマー: いやいや、地平線より、いいかもしれない。アハッフッフッ。
オペレーター: はい。どうにもこれが、開けた…。地図で見ると、谷あいの町みたいな、村みたいな感じのところに、いろんなものが、旅館とか、お地蔵さんとか、色んなものがありますのでー。,オペレーター: たぶん、行けば、そこら辺を歩いて見て散策するとか。神社もございますので、良いんじゃないかなっていうふうに、み、感じられるんですけれども、いかがでしょうか？,カスタマー: と、とりあえず行ってみるか、じゃあ。
オペレーター: そうですね、和歌山城ございましてー。こちらそうですね、和歌山市内にございます。,オペレーター: 最寄りがですね、JR和歌山駅からバスで7分ほどとなっております。,カスタマー: 和歌山城って、あの辺りは、ん、ん、どなたが、おす、だ、誰、な、藩主、フフフ。
オペレーター: お互い、お互い飲む、飲むためには。,オペレーター: じゃ一応これもメモしておきますね。,カスタマー: そうだなー、じゃあ3ついただいたんですね、なるほどなるほど。
オペレーター: 例えばなんですけれども。,オペレーター: お客さまが今おっしゃってました群馬で、ホタルの里。,カスタマー: ホタル？
オペレーター: バラエティゆか、豊かという観点ではですねー、おばんざいの店,オペレーター: <>小皿系がたくさんあるようなお店ですのでー,カスタマー: いいじゃないですか、いいですね、
オペレーター: ありがとうございます。,オペレーター: 今度、呉市、呉付近で、他なんか気になる場所だったり、なんかやってみたいことってあります?,カスタマー: そーですね、カレーの店とか、ないですかね?海軍カレーみたいな。
オペレーター: お値段やっぱり気になるかとかと思うんですけど、お寿司ですと、こちらですね、地魚中心のおまかせでお1人様3500円となっております。,オペレーター: ご予算的にどうですか、ちょっとお高い感じですか、それともこれくらいでも<>。,カスタマー: いやでも、でも、旅行に行くのだから、そのぐらいは、
オペレーター: お客様、お待たせいたしました。,オペレーター: こちらお楽しみいただけるのが、ビオスの丘というところ。,カスタマー: ビオス、ビオスの丘
オペレーター: とですね。,オペレーター: 申し訳ないんですけれども。,カスタマー: シーズンじゃないかな？アハハ。
オペレーター: 例えばですねー、わんこそば、どんなわんこそばのお店でもよいでしょうか。それとも何か、こだわりのわんこそば、御座いますか。,オペレーター: わんこそばそんなにこだわることが出来るようなものでも、ないかもしれないですけれども、ええ、申し訳ございません。例えばですねー。,カスタマー: あはははっ、
オペレーター: 施設で体験型オリジナル絵本とかがあって。,オペレーター: こ、これ、ちょっと子ども向けなんですけど。,カスタマー: 子ども向けなんですね。
オペレーター: あるいは、お昼は定山渓で食べてー、,オペレーター: 夜は札幌の方で食べるとか。,カスタマー: そういうこともできますよねー。
オペレーター: そうですねー…花火もそうなんですね、出てこなくてですね、ご案内が…できないんですけれど。,オペレーター: かしこまりました。,カスタマー: そうそうそう、ビールのための花火っていう、フフ、つもりだったんで…フフフ。
オペレーター: ご両親様が一緒ですんで、,オペレーター: こちら、そうですね、仙台で食べれるお店でございます。,カスタマー: なるほどなるほど。
オペレーター: 失礼しました。,オペレーター: <>と、やっぱりこちらもうどんとかー、お蕎麦。,カスタマー: お蕎麦？
オペレーター: 洋菓子ですと、例えばですけどカステラとかが。,オペレーター: どうなんですかね？ヘヘヘ、,カスタマー: あんまり聞いたことないな。
オペレーター: あるいはもっと別の場所の方がよろしいですか。こちらの雫石中心でー、,オペレーター: 何か、色々、組み立てて行きましょうか。いかがいたしますか。,カスタマー: ちょっと他にも、挙げて頂けると嬉しいです。
オペレーター: 左様でございますか。ありがとうございます。,オペレーター: ではですねー、こちら、お店の名前が、自遊庵ねぎぼうずと言います。,カスタマー: ねぎぼうず、
オペレーター: そうです、そうです。,オペレーター: 漢字ではそうですね。,カスタマー: そうですよね？
オペレーター: なるほど、激辛的なやつ、以外。,オペレーター: 和食と洋食でしたら、どーゆーものが、お好みでしょーか？,カスタマー: 岩手県のイメージだと、和食とか、美味しいのかな？と思ってるんですけど、
オペレーター: こちらだと、いろり付きで地鶏や海鮮料理を目の前で焼きながら食べられるっていうのが、いろ、お客さまに好評のようです。,オペレーター: 今、お話ししたお二つだと、どっちがいいとかってありますか？,カスタマー: やっぱり炭やさんがいいですね。
オペレーター: なかなかきれいなところでございます。春は桜が綺麗なんですけれども、秋は秋で紅葉もきれいなところでございます。こちらロープウェイに登っていただいて、その山並みを見る感じとなっておりまして、こちらもなかなか楽しいところでございますけれども。,オペレーター: お客様例えばレンタカーとか借りて、観光とかする予定はございますか？,カスタマー: あんまり考えてなかったんですけど、その方が便利だったらレンタカーもいいかなと。
オペレーター: では、お客様、アトラクション的な、なんていうんでしょうか、キラキラしたような温泉というのもございまして、それがですね、,オペレーター: それがですね、あんまりですかね。,カスタマー: あっはっはっは、賑やかってことですか？
オペレーター: こちらの動物園はですね、餌やり体験とかもできますね。,オペレーター: そうですね。,カスタマー: できることが多いんですかね？
オペレーター: かしこまりました。そうしますとですね、最初まず福岡なんですけれども、例えば春ぐらいに行かれるようなので、福岡城跡、別名舞鶴公園という公園がございまして、でこちらがですね、大変桜が綺麗な公園となっております。,オペレーター: でこちらそうですね、福岡市内にございまして、大変行きやすい場所にございます。,カスタマー: で大変、桜が綺麗な場所ですので、せっかくですので。
オペレーター: 写真では、天ぷらそばが写っているんですけど。,オペレーター: 冷たいお蕎麦に、天ぷらがついてくるみたいな、ちょっと変わった和風な感じなんです。,カスタマー: 天ぷらそばなんですけれども、普通の天ぷらそばとはちょっと違う感じですね。
オペレーター: こちらがですね、北海道産の、新鮮でコクのある牛乳を使ったアイスクリームですとかー、パフェなど,オペレーター: パフェだけでも30種類以上もございましてー,カスタマー: すごいですね
オペレーター: ですのでご夫婦でお歩きになっても特にご負担がないかなと思いましてお薦めしております。,オペレーター: こちらお客様いかがでしょうか？,カスタマー: 名前も初めて聞いたし、今のワードでその鄙びたっていう言葉が出てきたんですけど、そういうのいいなあと思って。
オペレーター: こちら十勝ハーブ牛、エゾジカ肉などの5種類の肉と、八丁味噌とプルーン、の、デミグラスソースなど8種類のソースから、それぞれ好みを選べるハンバーグステーキのお店となっております。,オペレーター: で、こちらプレートにはたっぷりのサラダや、素揚げや、素揚げのじゃがいもなどが添えられておりまして、ほんと、いわゆるハンバーグプレートのような感じのお店ですね。,カスタマー: 私は、今、お肉って聞いて思い出したんですけど、
オペレーター: 引っ張ってもらう人もいるっていうような形なんですが。,オペレーター: 結構、楽しそうです。子どもから、おとしよまり、りまで、た、楽しむことができますっていうことになっておりますが、いかがですか？馬って。,カスタマー: ぜひ、
オペレーター: 寄せ鍋でございます。,オペレーター: で、営業時間が11時から14時までと、夜は17時から21時となっております。こちらであれば、夕食であっても昼間であってお昼のご飯であっても、お時間的には大丈夫だとは思うんですけれども。越後湯沢駅から歩いて、徒歩、徒歩5分ぐらいで行かれます。,カスタマー: 5分、5分ね。
オペレーター: ええ、,オペレーター: <>をもう一度辿りたいとゆうかー。,カスタマー: <>七夕ですとか、あと花火大会が有名だった記憶しかないんですが。
オペレーター: 例えば道東ですとか、道南ですとか,オペレーター: どの辺りに行きたい、とか、ご要望はございますか？,カスタマー: ちょっとー確かに
オペレーター: 人数の制限はございませんしー、夜の営業もされてますので,オペレーター: もし、ラストオーダーが、じゅ、21時30分なので、お気を付けください。,カスタマー: そこに行ってみたいです。
オペレーター: 青の洞窟っていうのがあるみたいでそこ。,オペレーター: 体験ダイビングプログラムあるみたいです。,カスタマー: 行きたいです。
オペレーター: こちらもそうですね、昭和33年創業で。,オペレーター: ご主人が三代目？三代目…。,カスタマー: だから三代目になってるんですね。なるほど。フフ、フフ。
オペレーター: そうですねー。,オペレーター: こちらがですね、円覚寺跡、という場所～、ですねー。,カスタマー: それはーもう、建物も何もー、なくてー、その跡地という…、史跡…。
オペレーター: 米粉とか、大丈夫ですか？お食べになりますか？,オペレーター: かしこまりました。じゃあ、こちらも候補の一つとして押さえておきますね。,カスタマー: トーストなのに米粉で作ってるんですね、ちょっと珍しいですね。
オペレーター: ちるぐゎー、っていう。,オペレーター: 、鶴が小さいって書いて、つるぐゎー、って読むんですけど。,カスタマー: 漢字で。
オペレーター: どれだ、出てこないですね、御朱印単体だと。,オペレーター: 分かります、ただ、御朱印単体で調べると出てこなくな、出てこないこともあるのでー。,カスタマー: <>なるほど、そうだなー、宮崎でー、神社、なんか有名なところっていうか、人気のあるところって分かりますか？
オペレーター: こちらが…。,オペレーター: 値段がちょっと、お待ちくださいませ。,カスタマー: 2000円か、さん…。
オペレーター: 1個出てきて面白そうなのが、蓼科高原ハイランドイングリッシュガーデンっていうのがあるんですけれども。,オペレーター: バラの、お庭の中で、いろいろと出てくるらしいんですけど、英国園芸研究家ケイ山田氏の女性らしい感性で統一された本格的な英国式庭園となっておりまして、この中に、お店が、カフェがあるんですが、オリジナルの紅茶、スコーンが味わえるカフェとかなってるんですが、一回カフェで、スコ、スコーンとかいかがですか？,カスタマー: すてきですね。<>最高です。
オペレーター: そうです、そうです。,オペレーター: 漢字ではそうですね。,カスタマー: 違う、違う、違う、立山、立山。た、立川じゃない。立山。ハハ、フッ、フッフー。
オペレーター: 例えばやはり先ほどの、有田川温泉もございますし。,オペレーター: あと、みかん資料館。,カスタマー: みか、みかん資料館！フフ。みかんに資料館なんてあるんだ、ハハハ。
オペレーター: 面白そうですね。,オペレーター: あとなにか、ほかに、見たいところですとか、食べたいもの買いたいものとか、そういったご要望はございますか？,カスタマー: そういうのが、たくさん集まっているようなお店ってありますか？
オペレーター: 一応書いてあるのが、やっぱり干物がメインみたいな感じで。,オペレーター: そうですね、有名のようですねこちらでは。,カスタマー: わかりました、いかがですか？
オペレーター: そうですね、2400年の歴史を持ってますので、海に、の近くで、神社があって、あと海に沿って鳥居とかがあります。,オペレーター: そうですね海の、突き出したところに、岩場みたいなところに鳥居が建っていて、不思議な感じ、波打ち際に鳥居があるみたいな。,カスタマー: 中じゃないですけど、沿って。
オペレーター: こちら希少部位のラムカルビとか、羊のさがりっていうのが食べられるので。,オペレーター: さっきよりはじゅう、さっきのお店よりは羊的には充実してるかなって。,カスタマー: バラエティに富んでるってことですね、
オペレーター: もし食べられるのでーあれば、そういった方が良い…ですよね？,オペレーター: ゴーヤチャ、ゴーヤチャンプルー、や…、ナーベラーの、味噌炒め。,カスタマー: ナー、ナーベラー…、はい。
オペレーター: 何名様で行かれる予定でございますか？,オペレーター: <>,カスタマー: なのでー男性のほうがたぶん体力があると思うんですけど、私、大丈夫かなって少しは不安はありますけど、
オペレーター: かしこまりました。それではですね、天天有というお店がぴったりですので、こちらをおすすめしてもよろしいでしょうか。,オペレーター: こちら何かご質問ございますか？,カスタマー: なんですかね、味がちょっと違うとか、そういう違いはあるんですか？
オペレーター: では、例えばー,オペレーター: やはり仙台の近くですと、ちょっと都会感が強くてあまりお好みではないでしょうか？,カスタマー: 行ったことないんでーよくわからないんですけどー。
オペレーター: 九州でございますね。,オペレーター: かしこまりました、では何名様でのご旅行となりますか？,カスタマー: 4名となります。
オペレーター: なん、なんていうんだろう、ピーマンだったりとか、いろんな野菜が、ほぼスープみたいなカレーに入ってる、結構いろとりどりな写真がこちらに掲載されてましてー、<>ちなみにこのひげ男爵という名前にあやかってですが、ライスの上にコロッケみたいなものが、男爵のひげみたいな感じで、<>かわいらしい感じのお店で。,オペレーター: どうでしょう、こういった感じでもう何件かスープカレーのお店もございますけど、ほかにもお聞きしたいですか？,カスタマー: ですね、でも、ちょっと和風のあっさりっぽい感じですよね、雰囲気が、あっさりというか。
オペレーター: であとステーキですね。鉄板焼きのみくらさんですね。,オペレーター: であとはお土産とかは京都駅、京都の駅ビルのザキューブさんでお買い求めになるという感じの行程となっております。,カスタマー: 素敵なプランありがとうございます。
オペレーター: おゆ風呂もありますしー、レストランもー豊富なしょうざう、を、使ったメニューが、あるってゆうことが書かれております。,オペレーター: いかがでしょうか？,カスタマー: 凄い、景色―見ながらいいですね、温泉。
オペレーター: そうですね。,オペレーター: こちらもじゃあ一応…。,カスタマー: メモして頂けますかー。
オペレーター: やはりおっしゃってた熊本県にですね。,オペレーター: ありそうではありますね。,カスタマー: すいません、時間になってしまいまして、申し訳ないんですけれども、また何かございましたら、よろしく。お願いいたします。すいません失礼いたします。
オペレーター: ほぼ、お好きな時間帯に行けるんじゃないかなと思います。,オペレーター: 海上自衛隊の資料館なんかも近くにあるみたいですけど、こーゆーのは、そんなに興味ないですかね。,カスタマー: でも、その流れで行けるかなと思うので。
オペレーター: で、こちらで、お土産も売ってますし、テレビ塔ですので、上に登っていただいて、観光とかもできますね。,オペレーター: こちらも、割と駅から近い、近いので、割と行きやすい場所ではございますね。,カスタマー: アイヌ？
オペレーター: 牡蠣が食べれるお店もございますし。,オペレーター: こちら、石巻から、毎日、直送されると書かれております。,カスタマー: そーね、時間あったら石巻まで、行っちゃいたいくらいだけどなー、ふふふふ、
オペレーター: 例えばなんですけれども三内丸山遺跡という史跡がございまして。,オペレーター: こちらがですねどういったところかと申し上げますと、日本最大級の縄文集落遺跡でございまして、縄文時代のですねーそういった場所があるところなんですね。,カスタマー: こちらがすね体験作りとして土偶？
オペレーター: お寿司とかもちょっと違いますかね。,オペレーター: この、寿司、お寿司屋さん1個見つかったんですけど、写真がないので何かあんまりイメージがわきづらいかと思うんですけど。あと一応この秋田料理…を色々、いろんな種類、魚介もそうですし、お肉もお楽しみいただけるようなお店も見つかってるんですけど、こちらとかいかがですかね？,カスタマー: おに、お肉の専門…あ、り、り、両、両方あるということですか？
オペレーター: 一応こちらのお店が17時から22時半,オペレーター: までやってて、,カスタマー: ちなみになんですけど、
オペレーター: ハワイアンケーキってでてきちゃったんですけど。,オペレーター: ふふふ。い、ハワイアンケーキ。,カスタマー: そういう。
オペレーター: 定山渓のもう少し奥にですね、,オペレーター: 豊平峡温泉、というところがございます。,カスタマー: ほうへいきょう…
オペレーター: で、同じ近くに何かあればと思うんですけれどもー、食べたいものとか、夕飯に食べたいものとかってありますか？,オペレーター: 夏ですよね。,カスタマー: 牡蠣は冬ですよね。
オペレーター: なるほどですね。今お調べいたします。少々お待ちください。,オペレーター: そうしますとやはり先ほどのお店で、山形名物冷やしラーメン。,カスタマー: 冷やしラーメン。
オペレーター: 一応ですね、営業時間が11時半から14時30分ということで、お昼ご飯だけになるんですけれども、休店日は水曜日と木曜日で、祝日の場合は営業致しております。,オペレーター: 予約…一応じゅ、12月上旬から3月末頃までは、平日は予約制になっておりますの予約をお忘れなくお願い致します。,カスタマー: 予約制ね。
オペレーター: で、ただここちょっと閉まるのが早くて、夜8時までなんですね。,オペレーター: ですので、もうちょっと遅いところも見てみましょうか。,カスタマー: <>あそこが終わってすぐ行けるような感じにしたいので。
オペレーター: 熱気球が。,オペレーター: 熱気球が乗れるっていうところはあります。,カスタマー: それ、いいですねー。
オペレーター: はい。,オペレーター: あとは、お土産とかはいかがで…すか？<>ますか？,カスタマー: 土産ね。
オペレーター: あと、もう一つポイントがですねー、このお店の店主さんが釣った岩魚とか<>とかもあるそうです。,オペレーター: そうですね、やはり、この地元ではー、結構定着したお店<>ですね。,カスタマー: そこでも、
オペレーター: 大変お待たせいたしました。ただいまですね、お調べしましたところ、ー何件か出てきまして、ー鉄板焼きのお店ですとか。,オペレーター: ステーキのお店ですとか、何かご要望はありますか？ハンバーグのお店とか。,カスタマー: 色々ありますよね。多分。
オペレーター: こちらにございまして、こちらですと、そういった陶芸体験が、できます。,オペレーター: こちらそうですね、作品は1か月後に送ってもらえると書かれておりますけれども。,カスタマー: なるほど、フフ。
オペレーター: でこちらそうですね、福岡市内にございまして、大変行きやすい場所にございます。,オペレーター: 桜を見るのもいいかなあと思います。,カスタマー: ありがとうございます。
オペレーター: はい、今確認します。,オペレーター: 石川県ふれあい昆虫館ていうのが、あるんですけど、昆虫はどうですか？,カスタマー: 昆虫館、昆虫ーき、嫌いではないけども、行ってみたいよね。
オペレーター: ガッツリ肉っていう感じで。,オペレーター: じゃあこちらを一応入れさせていただきます。,カスタマー: そこでいいです、お願いします、お願いします。
オペレーター: 市場で海鮮丼をいただいて。,オペレーター: 夜はこの、浜っ子さんのほうでいただくみたいなプランでも、いいかもしれないですね。,カスタマー: いいですね、それだったら１日、満喫できる。
オペレーター: 試飲も出来てー…、見学も出来てっていう。,オペレーター: で、これ、とかは、丁度良いかなって。,カスタマー: そうなんだ。
オペレーター: 船とか。,オペレーター: 大丈夫、大丈夫ですか？酔わ、酔われないですかね？,カスタマー: でも、長時間じゃないので大丈夫です、全然、
オペレーター: 1750年の広島藩の藩主の湯治場だったそうですね、,オペレーター: こちらもなかなか、,カスタマー: 歴史がある<>
オペレーター: 仙台の朝市とゆー、,オペレーター: ご興味ございますか?,カスタマー: それ、港の方ってことですかね?
オペレーター: 大阪の、梅田にですね、梅田スカイビルというビルがございまして。,オペレーター: で、こちらにですね、空中庭園展望台がござい、ございます。,カスタマー: 知らなかったです。
オペレーター: 少々お待ちください。,オペレーター: ぎんざスエヒロのふじみ、富士店っていうのがあるんですけどいかがですか？,カスタマー: よさそうな感じがありますね、。
オペレーター: 新鮮な地元の野菜を使った料理。,オペレーター: こちら夜だけになっちゃうんですけど。,カスタマー: でも全然いいと思いますよ、
オペレーター: こちらがですね,オペレーター: 私どもの確認できる情報としては、こん、混浴かどうかが,カスタマー: 書かれてなくてー
オペレーター: 鳥取…。,オペレーター: お待たせいたしました。そうしますとですね、鳥取方面で懐石料理を味わいたいとのことですよね？,カスタマー: できれば。
