one_previous_utterance,previous_operator_utterance,current_utterance
カスタマー: はい。ん、ん。,オペレーター: ぜ、ぜひ、あの、立ち寄っていただける、ると、あのー、楽しいかと思うんですけれども。,カスタマー: おー、お昼ぐらいからやってるんですかね？
カスタマー: ええ、ええ。,オペレーター: この辺の。キカク巨峰園、いかがですか。プールとかがお子さま、いかがですか。,カスタマー: あ、はい。プール、そうですね。プール、多分入りたいと思うので。
オペレーター: あっ、一応じゃ、こちら、よ、夜で、とっ…。,オペレーター: 21時までやってるんですよね。,カスタマー: そーですね。
オペレーター: ええ、ええ。,オペレーター: はい。かしこまりました。それでは少々お待ちいただけますか。,カスタマー: はい。
オペレーター: ってご存知ですか,オペレーター: あっ聞いたことあります、はい,カスタマー: あの、北海道の郷土ろ、料理のえっとお店なんですけど、
オペレーター: 琉球ガラス村、っていうのがあって、えー、とー…。,オペレーター: ふーん。,カスタマー: あのー…、沖縄の、代表的な工芸品…、に、なってるんですけど、その琉球ガラスっていうのが。
オペレーター: はい、あの充実した。,オペレーター: はい。完璧なコースですね。フフフフ。,カスタマー: アハハ。すごい、楽しそうですね。
カスタマー: はい。,オペレーター: あとはー、えーと、一応、えー、ロープウェイに乗ってー,カスタマー: はい。
カスタマー: ええ。,オペレーター: はい。,カスタマー: えーとですね、こちらがえっと、サンライズ通りから少し横に入った所にあるお食事処、となってて、えーと、沖縄の家庭料理が味わえる、お店となっておりますー。
カスタマー: はい。ではお食事、何か苦手なものとかございませんか？お子様とかもいらっしゃいますし。,オペレーター: うーん、特にないですね。はい。<>,カスタマー: ええ、かしこまりました。
カスタマー: はい。,オペレーター: はい、お願いしまーす。,カスタマー: はい。
オペレーター: ちょっとお待ちください。,オペレーター: えーと。,カスタマー: 初夏ですよね。初夏だから。
オペレーター: ええ、ええ、ええ。はい。,オペレーター: ふーん、なるほど。,カスタマー: はい。こういったところもございますね。
カスタマー: はい。,オペレーター: すいません。,カスタマー: はい、本日はありがとうございました。
オペレーター: で、どういったテーマパークがお好きとかありますか？例えばアトラクションに乗るような場所か。,オペレーター: あるいは、あのこれ典型的かもしれないんですけれども、オランダ村でございますね。,カスタマー: 長崎オランダ村。そういったものもございますし、あるいは水族館系。
カスタマー: ま、好きですね。,オペレーター: はい。そうしますとですね、例えばなんですけれども、札幌かに本家札幌駅前店さんがございまして。,カスタマー: はい。
オペレーター: こればっかり出てくるか…,オペレーター: うんー、ジンギスカンで、出てきませんねー。,カスタマー: なんですか、北海道、北海道料理って感じですかね？
オペレーター: はーい。ナイトクルーズ、はい、書いてありますね。,オペレーター: それ、どれ、どれぐらいの、なが、長さなんですか？ご飯が食べれるって感じなんですか？,カスタマー: あ、え…。
カスタマー: あ、そうですか。あのー、あの、イメージが、海が近いってイメージがあるんですけども。,オペレーター: はい。,カスタマー: はーい。
カスタマー: ちょっと話が飛んでしまうんですけどー、離島でなんか牛がひっぱる車に乗るのってあるじゃないですか<>あれちょっと一回乗ってみたいんですよねー。,オペレーター: ええー。,カスタマー: ええ。
オペレーター: ではこの辺で終わらせていただきます。色々ありがとうございました。,オペレーター: こんにちは。,カスタマー: 本日はご利用いただきましてありがとうございます。
カスタマー: あ。,オペレーター: はい、はい。,カスタマー: で、春が、あの新緑が美しいと書かれております。
カスタマー: でー、ちょっとこー、スポットなん<>絞ってー、まわりたいか<>ってます。,オペレーター: ええ。,カスタマー: ええ、ええ。
オペレーター: はい。の、野幌森林公園。,オペレーター: へー。,カスタマー: ええ。という公園がございまして。
カスタマー: はい。,オペレーター: お客様こちら春にご旅行なさると、とてもあのお楽しみ頂けるんじゃないのかなと思いまして。,カスタマー: あ、そうなの、ええ、ええー。
カスタマー: はい。,オペレーター: まあこちらが…、<>、えーとー、五か、月間当時、五か月間かけて掘った地下壕が当時のまま残されていて。,カスタマー: はい。
オペレーター: えと一応お昼はおそばを食べたんですけどやっぱ、また肉料理的なものとかがよろしいでしょうかー。,オペレーター: う、うーん。どうーしましょうかねー、そのー…。,カスタマー: うーん、ま、まあ、あのー…、し…いー…、沖縄をよく知ってる人に聞くとー、その、魚はー、あんまりー、美味しくないって言うんで。
オペレーター: で、えーとですね、あのー、有名なあのグリコの看板のー。,オペレーター: はいはいはい。,カスタマー: 見える戎橋から。
カスタマー: ちょっと行ってみたいです、そこ。,オペレーター: あ、はい、承知しましたではここもお立ち寄りという事で、スイーツのお店一点入れておきますね。,カスタマー: はい、ありがとうございます。
カスタマー: うん。,オペレーター: 観覧車があるんですけれども。,カスタマー: ふーん。
カスタマー: うーん。,オペレーター: はい。公園がございまして、こちらがですね、あの、湯の川温泉という函館市内に温泉が、ご、あります。はい。,カスタマー: で、そちらの近くに、あのー、石川啄木の、あの、銅像がございまして、あのー、入園無料となっておりまして、あの、観光することはできます。はい。
カスタマー: うん。,オペレーター: 和菓子とか。それ、工場なの？,カスタマー: はい。あと、おみ、お土産も揃ってます。
オペレーター: あ、こちらですね、申し訳ございません、JR何線かまで、あ、あ、えーと、これは。,オペレーター: いえいえいえ。,カスタマー: までは、あー。
オペレーター: あ、はい。,オペレーター: そうですねー、その近くで、あのーなんでしょうか、うーん、横浜だったらなにがいいのかなー。,カスタマー: はい。
カスタマー: はい。,オペレーター: はい。,カスタマー: はい、ありがとうございます。では、えー、本日は宮城県の方面へのご旅行、冬に一名様ということで承ります。
カスタマー: あ、はい、わかりました。,オペレーター: すいません、はい。,カスタマー: いえいえ
カスタマー: はい。,オペレーター: ていうのが名物の。,カスタマー: 場所があるんです。
オペレーター: 出身地みたいで。,オペレーター: ふーん。,カスタマー: なんか、あの、南国土佐の名物とかがたくさん置い、そろえてあるカフェとか。
オペレーター: あ、かしこまりました。ただ今お調べいたしますので、少々お待ちください。,オペレーター: はい。,カスタマー: あ、お客さま、すいません。ただ今ですね、あのー、お調べしましたところ。
オペレーター: お酒、蔵…。,オペレーター: はい。,カスタマー: あ！はい、お客様、えーとですね、あのー。
オペレーター: まあ、ねぶたの魅力を紹介してるってことなので、そういったビデオもあるんではないかなと、そういった、なんだろう、展示スペースのようなところもありますので、そこの一部でビデオを公開してるってことはあると思います。,オペレーター: 結構、一時間くらい居れそうな場所なんですか？,カスタマー: そうですね、えーと、こちらの滞在時間がだいたい30分から60分くらいってなってますんで、もしあの、ゆっくり見たいっていう方であれば、一時間はいれるんじゃないかなと思います。
オペレーター: あっ…あのちょっと写真がお見せできないんですけど、蛇を,オペレーター: はい,カスタマー: 何て言うのかな首にこう
カスタマー: はい。,オペレーター: はい。そうしました、らですねあのこちらの場所を、がですねあの静岡市にございまして。,カスタマー: うんうん。
オペレーター: ちょっとお待ちください。,オペレーター: あ、じゃあ、ご友人から、えー、お勧めされてみたいな。,カスタマー: んー、自分も。
オペレーター: ひらのっていうお店が屋久島の中にあります。,オペレーター: ふーん。おお。,カスタマー: で、あの、基本的には。
オペレーター: だから、車を借りて周るといいかもしれませんね。,オペレーター: あー、ちょっと俺免許持ってないんでー。,カスタマー: あ、あの、観光のタクシーみたいのがあると思うんですけど、こういう<>。
オペレーター: ええ。ええ。,オペレーター: その自然、沖縄らしさを感じられる場所で食べたいなと思っていますが、何かありますでしょうか。,カスタマー: ええ。ええ。ええ、ええ。ええ。
オペレーター: こちらは、あの、えっと、お昼から夜まで、11時から22時30分まで営業しているんですが。,オペレーター: ふーん。,カスタマー: 閉店日は水曜日なのでご注意ください。
オペレーター: アハハ。すごい、楽しそうですね。,オペレーター: はい。はい。楽しみ。,カスタマー: ええ、ええ、ええ、ええ。なかなかよろしいかと思います。
カスタマー: はい。,オペレーター: で、最後に、長崎歴史文化博物館。という流れでよろしいでしょうか。,カスタマー: はい。
カスタマー: お願いします、えっと、あとさっきのしゃぶしゃぶのところを、えっと、夜の候補として一応リストに、はい。,オペレーター: はい、あ、なるほどなるほど、そうですね。,カスタマー: えーと、あ、これかな、えーと、黒豚料理あぢもりですね。
カスタマー: はい。,オペレーター: 約40分間の周遊が楽しめるそうです。,カスタマー: へー。
オペレーター: あ。,オペレーター: そうですね、はい。,カスタマー: はい。
オペレーター: うん。かしこまりました。では夏頃でございますね。,オペレーター: はい。,カスタマー: はい。では何名様でご旅行なさいますか？
オペレーター: あ。,オペレーター: ええ、ええ。,カスタマー: うんうん。
カスタマー: そうですね、はい。,オペレーター: ええ。で、こちらにですねー、えー、細い通りなんだけどって書いてますけど、細い通りですか？,カスタマー: はい。
カスタマー: はい。,オペレーター: はいはい。,カスタマー: ほー。
カスタマー: そうですね、なんか美味しそうな感じがします。,オペレーター: うーん。,カスタマー: で、あれば、えー、こちらをおすすめかな、あとビジエ料理ってご興味あります？
カスタマー: うーんとー、よく修学旅行で訪れるような所じゃないー、えーっとー。,オペレーター: えーえー。,カスタマー: えーえー。
オペレーター: あのー、北海道と言いますと、あの、だいぶー、広い、あのー、大変、ひ、あのー、広い面積でございますので,オペレーター: はい,カスタマー: あのー
カスタマー: あ、じゃあ。,オペレーター: はい、その辺もご心配なく、ご利用いただけるかと思います。,カスタマー: はい。
カスタマー: はい。,オペレーター: あの、沖縄美ら海水族館ですね。はい。,カスタマー: はい。
オペレーター: はい,オペレーター: ちょっと質問させていただきました。,カスタマー: 気になりますよね、はい。
オペレーター: えーと、定山渓になるんですけど、すすきの天然温泉、えー、湯香郷とゆうところなんですけども。,オペレーター: うんうんうん。,カスタマー: えーとー、札幌のすすきのに位置する、檜造りの露天風呂や、圧倒的な、広さを誇る大浴場と書かれておりまして―、道内トップクラスの種類を有する、上質なざ、上質な、リラクゼーション、ってゆうのがあるんですけれども。
オペレーター: ワイナリー、わい、ちょっとお調べしますね。,オペレーター: はい。,カスタマー: ワイナリーだと、えーっと。
カスタマー: はい。,オペレーター: はい。,カスタマー: あー、はい。
オペレーター: 本日はご利用ありがとうございます。,オペレーター: よろしくお願いしまーす。,カスタマー: よろしくお願いいたします。えーと、今回のご旅行はどちらの方面をご希望ですか？
カスタマー: はい。,オペレーター: これと先程私がお薦め致しました。,カスタマー: はい。
カスタマー: へー。,オペレーター: でもまあ色々とじ、食材、色々なんていうんですかね、他とはひと味違うお土産を購入することができるって書いてますので。,カスタマー: あー、へー。で、こちら嬉しいの24時間営業で無休ですね。
オペレーター: ちょっとお店の写真はないのでなんとも言えないんですけど、まぁ七輪囲んでわいわい楽しめるなので、まもしかしたらみんなでこうカウンターで、まぁわいわいできる。,オペレーター: なるほどなるほど、へー、その北えびすですか？ここはなんか特色みたいなのはあるんですか？,カスタマー: これがあの、肉に塩をふって、2日間じっくり低温熟成させる塩じめじん、熟成ジンギスカン。
オペレーター: こちらですねー、七夕で使われる和紙、仙台の七夕まつりで使われている和紙が買えるお店があるようでしてー,オペレーター: はい。,カスタマー: あー、うーん。
オペレーター: そうですね、バラエティゆか、豊かという観点ではですねー、あの、おばんざいの店,オペレーター: はい、はい、はい。,カスタマー: あ、いいですねー。
オペレーター: はい、あとですねー。あのー、えーと、あと、お、あのー、たこ焼きですよね？,オペレーター: はい。,カスタマー: はい。
カスタマー: はい。,オペレーター: あ、そうですね。,カスタマー: 紅葉以外に、はい。
オペレーター: はい,オペレーター: できればー、えーとー,カスタマー: はい
オペレーター: なんか、これは、あの、やはりガーリックオイルでパリッと揚げたって。これも、チキンが入ってるみたいですね。,オペレーター: へー。おいしそ。,カスタマー: ちょっと写真がないんですけれども。
オペレーター: あ、わかりました。,オペレーター: グラント、グラン、フロント大阪南館に順ずるという事で、ホテルの中ですね。,カスタマー: んー。
カスタマー: はい。,オペレーター: おー。,カスタマー: ええ、ええ。定番の味噌ラーメンは、濃厚なのにすっきりとした辛みのあるスープ。
オペレーター: かしこまりました。では、こちらの方を、リストに加えておきます。,オペレーター: はい。,カスタマー: はい。
オペレーター: えー、ま、さざ波の音を聞きながら入浴できる6種類の露天風呂、がご、えーと、あるとのことですね。,オペレーター: はい。,カスタマー: で、なんかこちら、温泉入りながらー、瀬戸内海の眺めとかも、見れるような
カスタマー: こんにちは、お願いします。,オペレーター: はい、よろしくお願いします。,カスタマー: えっとー、今回ご旅行はー、どちらの方面とかーをご希望されていらっしゃいますか？
カスタマー: はい。,オペレーター: やっぱりー、休みが入ってくると思うんですけれども。,カスタマー: ええ、ええ。
カスタマー: はい。,オペレーター: この、じゃ、どうしましょうか、えーっと、１日旅行されるということですので、たとえば。,カスタマー: はい。
オペレーター: あ、かしこまりました。はい、少々お待ちください。,オペレーター: ええ、ええ。,カスタマー: えー…花火…。
カスタマー: はい。,オペレーター: えーと、り、リトル大阪道頓堀店、カッコ、ぐり、グリコ。,カスタマー: はい。
カスタマー: そうですね。,オペレーター: ええ。で、こちら、あの、ヒマワリの、あの、ジャンボ迷路、迷路ですね。,カスタマー: はい。
カスタマー: はい。,オペレーター: えーとー、では本日は色々ありがとうございました。,カスタマー: ありがとうございました。
オペレーター: 例えばー、あのー。,オペレーター: はい。,カスタマー: 小倉家さんというところではですね、あのー、こちら、民芸品ですとか、お酒とかも購入ができますし。
カスタマー: はい。,オペレーター: はい。,カスタマー: はい、かしこまりました。では、京都なんですけれどもー。
オペレーター: 一応こちらはですね、あのー、ナガンヌ日帰りツアーとございまして、はい。,オペレーター: はい。,カスタマー: あのー、季節によって、ちょっとお値段が変動するんですけれども。
オペレーター: ええー。,オペレーター: そういうのがあるのすごいいいですね。,カスタマー: 面白いですよね、はい。
カスタマー: はい。,オペレーター: あ、そうなんですか。,カスタマー: 4月上旬ですごめんなさい。
カスタマー: んー、自分も。,オペレーター: その、うん。,カスタマー: なんか、え、す、勧められたといえば、まあ、自分も見てみたいなというですね。
オペレーター: お客様、お待たせいたしました。,オペレーター: はい。,カスタマー: はい、トルコライスのお店ですと、まああのその辺にあるような洋食店のようなお店とか。
オペレーター: あのー、お店屋さんがたくさんございますので、はい。,オペレーター: はい。,カスタマー: こちらに寄られてもよろしいかと思いますし、あと、そのー。
オペレーター: はい。でこちらはですねそのイルカとかアザラシアシカのショーも見れて。,オペレーター: うーん。,カスタマー: ええ。あのこちらもそうですね、割と、あの丸1日楽しめるような、はい施設となっておりまして、はい。
カスタマー: はい。,オペレーター: えーとー,カスタマー: ジンギスカン、本当のジンギスカンってゆうとー、あのー、松尾ジンギスカン、なんはっ、札幌駅前店とゆう、もう、いかにもジンギスカンっていう感じ、あの、焼肉屋さんとか、ま、いろいろあるんですけどもー、ジンギスカンってゆうと、松尾ジンギスカン札幌駅前店というお店がございます。
オペレーター: ではえっと、夕飯は、この島唄ですね。,オペレーター: さっき言ってたキャンプ場から近いんですかね。どのぐらいなんですか？,カスタマー: はい。えっと少々お待ちください。
オペレーター: では、ありがとうございました。,オペレーター: こ、あ、こんにちは。本日はご利用ありがとうございます。,カスタマー: よろしくお願いします。
カスタマー: 寄ってみようかなと思います。,オペレーター: かしこまりました。はい、北海道大学植物園。,カスタマー: あ、すいません。
オペレーター: ではお客様、お寺をご覧になる場所決まったんですけれども。,オペレーター: はい。,カスタマー: いかが致しましょう他のお寺もご覧になるか、或いは周りで自然をお楽しみになるとか。
オペレーター: あんまりでしょうか。ええ。,オペレーター: 例えばですね、あの、名前は結構有名かと思うんですけど、亀山社中という。,カスタマー: はい、はい。はい。
オペレーター: であれば、あのー、ちょっとお勧めのお店があるんですけれども。,オペレーター: ああ、ある？,カスタマー: あの、保よしさんっていうお店があるんですけれども、こちらはいかがでしょうか？あの、郷土料理になりましてー、あの、しゃぶしゃぶとか、あと、え、越後のもち、もち豚鍋というのがございます。
カスタマー: ここが寒いからなのかなー?,オペレーター: あ。,カスタマー: どうなんですかねー。
カスタマー: はいえーっと昼だとちょっとお待ちください,オペレーター: はい,カスタマー: 何個か、えっとまず一つ、何個かありまして、まず一つが、サッポロビール園っていうところなんですけど
オペレーター: そこでボートに乗ったり、あるいはちょっとした川のような場所で水遊びをしたり。,オペレーター: うんうん。うんうん。,カスタマー: そういったことができたりするんですね。あとむつごろうの水族館もあったりして。
オペレーター: こうおでんを、結局は名物になるということですよね。<>、ええ。,オペレーター: あっなるほど。はい。,カスタマー: ただまぁちょっと、お昼にかまぼこ自分で作って<>
カスタマー: なんか空港以外で温泉が有名なところってあります？,オペレーター: あ、かしこまりました。ただ今、お調べいたしますのでお待ちください。,カスタマー: はい。
カスタマー: あ、それいいね、じゃあ。それにしようかな。,オペレーター: じゃあ、あの、この、えー、越後湯沢にある、えー。,カスタマー: え？はい。
カスタマー: ほー。,オペレーター: 絵画とかオブジェとか民芸品とか、ま浮世絵、さまざまなものが、こう猫作品があるみたいで、猫好きにはたまらないって書いてあるんですけれども。,カスタマー: へー。
カスタマー: はい。,オペレーター: ですね。,カスタマー: はい。そうですね。
カスタマー: はい。,オペレーター: あと、ラーメン屋さん？,カスタマー: はい。
カスタマー: はい。,オペレーター: こちらは季節野菜の炊き合わせとかがあるようなお店もありますし。,カスタマー: まあ、ただちょっとこれは朝ごはん向けな感じなので、ちょっとこれはあんまりかなと思うのと。
オペレーター: 一応、なんかお昼前の11時30分から21時半まで、一応、営業はしてるんですけれども。,オペレーター: うん。,カスタマー: やはり、この札幌の駅の、こ、中心街にあって。
オペレーター: はい。,オペレーター: あっ、はい。そうですねこちらがですね、あのーそういった写真がないんですけれども、多分おそらくあのあるかと思いますので、はい。もしあのありましたら是非あの乗ってみるのも良いかと思います。,カスタマー: はい。
カスタマー: すごい興味は湧きました。,オペレーター: 左様でございますか。では轟の滝といいますので、こちらをご旅行先の一つのリストに加えてもよろしいでしょうか。,カスタマー: あ、はい。ぜひお願いいたします。
カスタマー: うんうん。,オペレーター: あ、そうなんですね。はい。,カスタマー: ええ、あの、ちょっとすいませんが、申し訳ないんですけれどもー。あの、主に観光地で、はい、でお願いしたいんですけれども。
カスタマー: あー。,オペレーター: うーん。,カスタマー: うーん。
オペレーター: あ、違う、すいません。,オペレーター: あ、失礼しました。,カスタマー: 札幌蟹本店が夕飯とゆうことでー。
オペレーター: 刺身、ツワブキの佃煮、ヨモギのゼリー。,オペレーター: うん。,カスタマー: などが、ま、季節によって、ま、それではなかったりするんですけど、ま、一例として、そういったものが季節によっては出てくる。
カスタマー: はい。,オペレーター: では、例えばー,カスタマー: はい。
オペレーター: あー、そうですね、あのー女性におすすめと書かれておりますね。,オペレーター: あ、はい。はい。あの、なんです、初めてちょっとお聞きしたんですけど、<>も。はい。,カスタマー: はい。ええ。はい。ええ、はい。なかなか面白そうでございます。はい。
カスタマー: ああ。,オペレーター: うん。,カスタマー: あー、予約制ね。
カスタマー: はい。,オペレーター: で、お食事は夜お魚をですね、えー、ねぎぼうずというお店でお召し上がりになって、もしかすると、お昼に牛タンの福助さんの方で<>かもしれないという感じ,カスタマー: はい。
カスタマー: うん、うん。,オペレーター: うん、うん。,カスタマー: ああ。
カスタマー: んー。,オペレーター: うん。の和風アップルパイとい、い、と言ったですねあのお菓子もあるお店屋さんがございまして、はい。こちらもあの宜しいかと思うんですけれども、はい。,カスタマー: アップルパイだったら好きです。ふふふ。こちら。はは。そうですね、はい。こちらなかなかはい宜しいかと思いますのではいおすすめしたいですねはい。
カスタマー: うんうんうんうん。,オペレーター: ほー。あの源泉のゆで卵づくり体験ができます。,カスタマー: ははは、その温泉を使ってっていうことですかね、たぶん。
オペレーター: あ、そういったところ、見たいですか？,オペレーター: そうですね。,カスタマー: はい、じゃ、ちょっと調べてみますね。
オペレーター: 何か、アクティビディというか、こういうことがしたいとかー、なんかこういう場所が見てみたいとか、あとはなんか、どういうものが食べてみたいとか、そういったご希望やアイデアなんかはございますか？,オペレーター: そうですね、まあせっかく冬なので、まあ脂が乗った魚は食べたいですね。,カスタマー: ええ、あ、なるほど、魚料理ですね。
オペレーター: はい。,オペレーター: っと春なので桜とか綺麗なところがあれば一緒に見たいなと思います。,カスタマー: はい。
カスタマー: はい。あの静岡ですと富士山であったりとか、御殿場であったりとか、あとは伊豆の方とか海でございますよね。,オペレーター: うんうんうん。,カスタマー: はい。
カスタマー: はい。,オペレーター: で、こちらですと、なんか、ミニ、ミニグリコマン？フフ。,カスタマー: え？ミニグリコマン？なんですか？それ。フフフフ。
カスタマー: そうですね<>はい。,オペレーター: ちょっと結構こうやはり北海道ですので、こう豪勢な料理が今たくさん<>出てまして、すいませんね、ちょっとお待たせいたしますが、もう少々お待ちください。,カスタマー: あー<>、いえ、あ、はい。
オペレーター: あっ、そうです<>。,オペレーター: あっ。はい、かしこまりましたではお昼ごはん…、を食べる場所をさ、探っす感じで、よろしいでしょうか。,カスタマー: そう…でっすねー。その、その二つのー、ちょっと位置関係がわからないんですけど。
オペレーター: まぁでもせっかくなんで,オペレーター: そうですねー,カスタマー: で一応流れとしてはさっきの所と今の所でジンギスカンをちょっと堪能するじゃないですけど
カスタマー: そうですねー、うん、タクシーで行かないとね、どっちかが飲めないから、はははは、うん喧嘩しますからね、ははは、だからじゃないとだめ。,オペレーター: そうですよね、あの、お互い、お互い飲む、飲むためには。,カスタマー: なるほど。
カスタマー: えこ…フフッ、たぶん、えこ、フフッ、越後湯沢の公民館。市の公民館かな。町の公民館でー、やってる絵画展です。,オペレーター: はい。,カスタマー: 絵画展ですね？
カスタマー: うーん。,オペレーター: うーん。ところも、はいなかなかよろしいかと思います。,カスタマー: ありがとうございます。
カスタマー: な、なのでちょっと、さ、よ、中で食べれるような所があれば、いいなってゆう思いで。,オペレーター: じゃああの中で食べられそうなお店今探してみますね。,カスタマー: はい、ありがとうございます。
オペレーター: ええ、はい、えーと、どちら、になりますか？,オペレーター: はい、北海道を考えてます。,カスタマー: あ、なるほどなるほど、北海道に行かれるんですね、はい、かしこまりました。
オペレーター: あのー,オペレーター: 例えばなんですけれども,カスタマー: はい
オペレーター: また、ちょうど行くのが、えーと、冬なので、えと、セイゴインダイコンですかね、を使ったお料理とかがあるんですけども、ええ。,オペレーター: はーい、あー、これおすそうです、そこがいい。,カスタマー: と、こちらは、明石、新明石っていう、あのお店なんですけれども、こちらが、えっと、やっぱり<>みなみのベイエリアにございましてー、えーとー、営業時間が16時から22時、で、えー、日曜日がお休み、日曜祝日がお休みです。
オペレーター: ええ、ええ、ええ。,オペレーター: 安いのが欲しいわけじゃないんですけど。,カスタマー: はい、はい、はい。
オペレーター: はい…。そうですね…例えばやはりですね、お魚系が多いですね。,オペレーター: うん。,カスタマー: はい、例えばこちらですと、あのー三味線、津軽三味線を聴きながら。
カスタマー: はい。,オペレーター: あの、5000円ぐらいからあります。,カスタマー: はい。
オペレーター: はい、そしたらですね、例えばなんですけれども。,オペレーター: はい。,カスタマー: あのー、す、水陸両用バスってご存じですか？
オペレーター: ま、海を、見るとなると、けっこういろんなしゅ、えと、種類というか、あると思うんですね。,オペレーター: そうですね。,カスタマー: どういう感じの、シチュエーションが。
オペレーター: 道が描かれるムーンロードが名物となっておりまして。,オペレーター: へー。,カスタマー: はい。
カスタマー: あ、なんか三十三間堂のようなそんなイメージなんですかね。,オペレーター: そうですね、それがもう少しこう鄙びた様な感じの場所になっておりまして。え、え、とてもしっとりした場所でございますね。,カスタマー: あー、あっいいですね。ええ、ええ、ええ。
オペレーター: こちらでですね、あのー、えーと、有名な大通公園とか、はい、あの、ございますので。,オペレーター: うんうん。,カスタマー: あの、この辺、あのー、散策していただくのも楽しいですし、あと、こちらの、あの、テレビ塔の上に上ってみるのも、あの、楽しいかと、おも、思います。
オペレーター: てこちらあの無料で試飲が飲めますので。,オペレーター: うーん。,カスタマー: はい。よろしければ。
カスタマー: ありがとうございましたー。,オペレーター: 失礼いたします。,カスタマー: あ、こんにちは。
カスタマー: うん。,オペレーター: 子羊とかっていうように、メインの具材を、こう、選べるっていう。,カスタマー: ふーん。
オペレーター: 自然を見る感じなんですけれども、あの、ここはあのー大杉タニガワの中流で、最も谷間のせま、せま、狭くなった場所なんですけれども。,オペレーター: あー。,カスタマー: はあ。
オペレーター: これは、ん？これ、何て読むんだ？,オペレーター: 沖、沖に永い、良い、部、島。,カスタマー: うん。
カスタマー: うん、うん、あ、いいですね、それだったら１日、はい、満喫できる。,オペレーター: 魚介、ちょっと魚介づくしみたいな。,カスタマー: はい。
オペレーター: お土産にいかがですか？,オペレーター: はい、お好きです。,カスタマー: 大好きです。
カスタマー: それって、どの辺にある、のですか。,オペレーター: えっとー、駅の近くですね、あのー。,カスタマー: んー。
オペレーター: ええええ。,オペレーター: できればお昼近くにかまぼこ博物館の方に伺うようにして。,カスタマー: ええ。ええ。
カスタマー: はい。,オペレーター: 少々お待ちください。,カスタマー: はい。
カスタマー: はい。,オペレーター: で、その後ですね、あのー、二条市場で、あのー、はい、あの、こちらでイクラ料理ですとかカニ以外の、あのー、料理を食べることもできます。あとは、あのー、札幌市の円山動物園で、あのー、動物と戯れることもできますし、あと、先ほど別に、あのー、す、申し伝えましたノースサファリサッポロで、あの、ちょっと、お客さまは、あの、嫌がられたんですけど、あの、ヘビですとか、あのー、他にカワウソの餌やりですとか、そういった、あの、動物園もございます。,カスタマー: フフ。
オペレーター: こんにちは、本日はありがとうございます。,オペレーター: はい、こんにちは、初めまして、よろしくお願いいたします。,カスタマー: 初めまして。
オペレーター: うん、そうですね、ちょっとなんかこちらの写真とかのイメージが…,オペレーター: うん。,カスタマー: こちら載ってなくてですねー、
オペレーター: ええ、ええ。ええ。ええ。ええ、ええ。,オペレーター: ええ、そうですよね。あのー海鮮料理の専門店となっておりますので、あの私共のほうにある情報でも魚のメニューしか載っていないんですね。,カスタマー: うんうん。はい。
オペレーター: はい、お待たせいたしました。はい、例えばなんですけれども。,オペレーター: はい。お客様、あのーえーっとですね、あの冬ちょっと寒いんですけれども。,カスタマー: はい。はい、もしよろしければ、あのー三内丸山遺跡という遺跡があるんですけれども。
オペレーター: はい、では本日はどうもありがとうございました。,オペレーター: 本日はお問い合わせ頂き、ありがとうございます。,カスタマー: はい。えーとこの度一日よろしくお願い致します。
カスタマー: はい。,オペレーター: えー、乗馬体験。,カスタマー: うーん。
カスタマー: あのー…、まあー…、んうっ。,オペレーター: い、知る人ぞ、知るみたいなちょっとー、うん、マ、マニアックなとこなんかも…、行ってみたいなっ、という感じですね。,カスタマー: うーん。
オペレーター: そういった意味では、なんだろう。,オペレーター: あれも、あれも、これもみたいな。,カスタマー: あ。
カスタマー: さっき言ってたキャンプ場から近いんですかね。どのぐらいなんですか？,オペレーター: はい。えっと少々お待ちください。,カスタマー: えっと、一旦ちょっとキャンプ場に戻りますね。同じ本島だと思うんですけども。
オペレーター: 今お調べ致しますので、少々お待ちください。,オペレーター: はい,カスタマー: お客様、大変お待たせいたしました。
カスタマー: はい。,オペレーター: 温泉施設となってましてー。,カスタマー: はい、こういうところとか、いかがですかね？
カスタマー: はい。,オペレーター: えーと、ちょっとー、写真とかお見せできないんですが、こう、なんか、綺麗な景色を見ながら、えーもう、夕食を楽しむということができるかと思います。,カスタマー: はい。
カスタマー: そーそーそー、すごーい、なんかすごい、美味しそう、なんかね、記事で、記事で見たことあって。,オペレーター: はーい。,カスタマー: えーえーえー。
オペレーター: はい。申し訳ございません。す、もう、申し訳ございません。ただ今ですね、あの、お調べしましたところ、ちょっとあのー、該当が出てきませんで、あのー、首里城のほうを、はい。,オペレーター: はい。,カスタマー: 調べいたしますので、少々お待ちください。
カスタマー: ふーん。,オペレーター: ご興味ございますか？,カスタマー: はい。
オペレーター: こんにちは、本日はよろしくお願いします。,オペレーター: お願いしまーす。,カスタマー: では、えーと、早速なんですけども、まずご旅行先伺ってもよろしいでしょうか？
カスタマー: あ、はい。失礼いたしました。はい。ありがとうございました。,オペレーター: はい。はい。ありがとうございました。はい。本日はご利用いただきましてありがとうございました。失礼いたします。,カスタマー: はい。はい、ありがとうございました。失礼します。
オペレーター: が入ったスープカレーで、ボリュームたっぷりって書いてるんですけども。,オペレーター: ふーん。,カスタマー: こちら、おいしそうですよね。
